razao_social;cnpj;placa;servico_regular;servico_fretado;servico_semiurbano;data_validade_csv;validade_seguro;ano_fabricacao;categoria_veiculo;nr_assentos_categoria;nr_assentos
A M DOS SANTOS TRANSPORTE LTDA;14.863.960/0001-90;QTU-4A53;Não;Sim;Não;2023-01-10;2022-12-03;2019;Convencional;16;16
A&C LOCADORA EIRELI;35.909.144/0001-40;FMC-4472;Não;Sim;Não;2022-10-19;2022-09-03;2013;Convencional;16;16
A. ALVES TRANSPORTE E TURISMO LTDA - ME;08.348.422/0001-64;BCY-1G33;Não;Sim;Não;2023-01-21;2022-09-03;2019;Semileito;67;67
A. C. M. TRANSPORTES TURÍSTICOS LTDA - ME;73.500.696/0001-99;IPS-6981;Não;Sim;Não;2022-08-11;2022-11-30;2009;Leito;40;40
A.J. VIDOTTI & CIA LTDA;11.487.926/0001-70;AUR-0B05;Não;Sim;Não;2022-04-16;2022-11-05;2009;Executivo;29;29
A.J.LOCACOES DE VEICULOS LTDA;02.538.968/0001-00;AYZ-5580;Não;Sim;Não;2022-09-13;2022-08-14;2014;Executivo;19;19
A.S.S. TURISMO LTDA - ME;82.342.510/0001-01;AWM-1488;Não;Sim;Não;2022-09-23;2022-04-28;2012;Semileito;59;59
A.V. TRANSPORTES UNIVERSITARIO EIRELI;05.520.905/0001-06;BAI-4198;Não;Sim;Não;2022-10-14;2022-07-21;2015;Convencional;20;20
ABELAZERI AGENCIA DE VIAGENS E TURISMO LTDA;06.374.378/0001-31;OLL-6330;Não;Sim;Não;2022-10-08;2022-10-05;2014;Leito/Semileito;12|51;63
ABENCOADO LOCACAO DE VEICULOS LTDA;21.612.044/0001-42;BZL-8A02;Não;Sim;Não;2022-03-03;2023-01-22;2019;Executivo;19;19
AC TRANSPORTES E SERVIÇOS LTDA - EPP;04.205.633/0001-97;PXA-1083;Não;Sim;Não;2022-11-24;2022-05-12;2014;Semileito;44;44
AC TRANSPORTES E SERVIÇOS LTDA - EPP;04.205.633/0001-97;QPN-5255;Não;Sim;Não;2022-11-18;2022-05-12;2018;Semileito;46;48
ACM TRANSPORTE E TURISMO LTDA ME;08.809.314/0001-41;PXN-6206;Não;Sim;Não;2022-08-16;2022-09-03;2016;Semileito;59;59
ACZ VIAGENS LTDA - ME;02.022.625/0001-80;IUK-6I48;Não;Sim;Não;2022-09-17;2022-11-11;2012;Executivo;19;19
ADVANCE TRANSATUR TRANSPORTADORA TURISTICA LTDA;44.471.985/0001-09;FVG-4224;Não;Sim;Não;2022-09-28;2022-02-03;2011;Executivo;59;59
AG TUR - TRANSPORTE E TURISMO LTDA;10.511.532/0001-47;JHX-0573;Sim;Sim;Não;2022-10-28;2022-10-25;2009;Executivo;42;42
AG TUR - TRANSPORTE E TURISMO LTDA;10.511.532/0001-47;PZX-2959;Sim;Sim;Não;2022-09-13;2022-07-22;2017;Executivo;33;33
AG TUR - TRANSPORTE E TURISMO LTDA;10.511.532/0001-47;QXR-6J06;Sim;Sim;Não;2022-03-27;2022-10-25;2019;Executivo;46;46
AGENCIA DE VIAGENS DALLAS LTDA;64.196.942/0001-70;FTU-2171;Não;Sim;Não;2022-08-24;2022-09-03;2013;Executivo;46;46
AGENCIA DE VIAGENS RC TURISMO LTDA;24.392.949/0001-42;NZY-1E00;Sim;Sim;Não;2022-10-05;2022-05-19;2011;Semileito;46;46
AGIO TUR LTDA;11.448.035/0001-04;RDT-5C51;Não;Sim;Não;2022-09-22;2023-01-22;2019;Executivo;21;21
AGUIA DO SUL TRANSPORTADORA TURISTICA EIRELI;19.534.019/0001-46;KOO-1813;Não;Sim;Não;2022-02-16;2022-08-28;1998;Executivo;51;51
AGUIAR LOCACAO LTDA;07.922.139/0001-31;PSV-0020;Sim;Sim;Não;2022-11-26;2022-08-28;2015;Executivo;52;52
AGUIAR LOCACAO LTDA;07.922.139/0001-31;PSV-0030;Sim;Sim;Não;2022-04-23;2022-08-28;2015;Executivo;52;52
AGUIAR LOCACAO LTDA;07.922.139/0001-31;PTC-0010;Sim;Sim;Não;2022-10-06;2022-08-28;2017;Executivo;48;48
AGUIAR LOCACAO LTDA;07.922.139/0001-31;PTC-0015;Sim;Sim;Não;2022-11-08;2022-08-28;2017;Executivo;48;48
AGUIAR LOCACAO LTDA;07.922.139/0001-31;PTC-0040;Sim;Sim;Não;2022-12-14;2022-08-28;2017;Executivo;63;63
AGUIAR LOCACAO LTDA;07.922.139/0001-31;PTC-1001;Sim;Sim;Não;2022-11-05;2022-08-28;2017;Executivo;63;63
AGUIAR LOCACAO LTDA;07.922.139/0001-31;PTU-0025;Sim;Sim;Não;2022-10-01;2022-08-28;2019;Executivo;46;48
AGUIAR LOCACAO LTDA;07.922.139/0001-31;PTU-0045;Sim;Sim;Não;2022-11-10;2022-08-28;2019;Executivo;62;62
AGUIAR LOCACAO LTDA;07.922.139/0001-31;PTY-0A50;Sim;Sim;Não;2022-08-05;2022-08-28;2019;Leito;62;62
AGUIAR LOCACAO LTDA;07.922.139/0001-31;PTY-0A55;Sim;Sim;Não;2022-08-06;2022-08-28;2019;Leito;62;62
AGÊNCIA DE TURISMO MONTE ALEGRE LTDA;48.194.609/0001-75;GCI-1835;Não;Sim;Não;2022-04-22;2022-02-05;2018;Leito;59;59
AGÊNCIA DE VIAGENS RAMOS TURISMO LTDA;71.349.518/0001-83;QPH-5045;Não;Sim;Não;2022-07-12;2022-07-16;2018;Executivo;50;52
ALEGRATUR TRANSPORTES VIAGENS E TURISMO EIRELI;29.136.745/0001-64;HIJ-9346;Não;Sim;Não;2022-11-10;2022-11-10;2008;Executivo;16;16
ALFA VANS LOCADORA DE VEICULOS LTDA;23.713.797/0001-70;BAG-7339;Não;Sim;Não;2022-10-26;2022-08-07;2015;Executivo;16;16
ALLAN CESAR TRANSPORTES EIRELI;36.047.790/0001-08;LQP-0G90;Não;Sim;Não;2022-07-12;2023-01-11;2004;Convencional;47;47
ALLIGUI VIAGENS E TURISMO DE ANDIRÁ LTDA - ME;85.509.438/0001-52;BAC-5292;Não;Sim;Não;2022-09-22;2022-09-24;2015;Executivo;44;44
ALMEIDA E FILHO TURISMO LTDA;03.639.602/0001-81;JUF-1H66;Não;Sim;Não;2022-05-29;2022-02-28;2003;Executivo;42;42
ALMEIDA E FILHO TURISMO LTDA;03.639.602/0001-81;MQQ-1809;Não;Sim;Não;2022-09-24;2022-02-28;2006;Executivo;50;50
ALMEIDA E SANTOS TRANSPORTE E TURISMO LTDA  - ME;10.647.838/0001-25;AXQ-4J48;Sim;Sim;Não;2022-11-05;2022-08-26;2013;Semileito;42;42
ALMEIDA E SANTOS TRANSPORTE E TURISMO LTDA  - ME;10.647.838/0001-25;DVS-0757;Sim;Sim;Não;2022-09-15;2022-08-26;2008;Semileito;45;45
ALMEIDA E SANTOS TRANSPORTE E TURISMO LTDA  - ME;10.647.838/0001-25;ESU-5G85;Sim;Sim;Não;2022-04-23;2022-08-26;2012;Semileito;44;42
ALMEIDA E SANTOS TRANSPORTE E TURISMO LTDA  - ME;10.647.838/0001-25;HIM-1457;Sim;Sim;Não;2022-11-25;2022-08-26;2011;Semileito;46;46
ALMEIDA E SANTOS TRANSPORTE E TURISMO LTDA  - ME;10.647.838/0001-25;IVQ-2421;Sim;Sim;Não;2022-11-17;2022-08-26;2014;Semileito;45;45
ALMEIDA E SANTOS TRANSPORTE E TURISMO LTDA  - ME;10.647.838/0001-25;MHE-6D51;Sim;Sim;Não;2022-10-07;2022-08-26;2009;Executivo;50;50
ALMEIDA E SANTOS TRANSPORTE E TURISMO LTDA  - ME;10.647.838/0001-25;MHG-2701;Sim;Sim;Não;2022-11-04;2022-08-26;2009;Executivo;50;50
ALMEIDA E SANTOS TRANSPORTE E TURISMO LTDA  - ME;10.647.838/0001-25;MJE-7765;Sim;Sim;Não;2022-05-10;2022-08-26;2011;Semileito;44;44
ALMEIDA E SANTOS TRANSPORTE E TURISMO LTDA  - ME;10.647.838/0001-25;NVJ-0023;Sim;Sim;Não;2022-05-05;2022-08-26;2011;Executivo;46;46
ALMEIDA E SANTOS TRANSPORTE E TURISMO LTDA  - ME;10.647.838/0001-25;OGS-5I87;Sim;Sim;Não;2022-09-22;2022-08-26;2011;Semileito;44;44
ALMEIDA E SANTOS TRANSPORTE E TURISMO LTDA  - ME;10.647.838/0001-25;OPC-4292;Sim;Sim;Não;2022-10-28;2022-08-26;2011;Leito/Semileito;46|6;52
ALMEIDA E SANTOS TRANSPORTE E TURISMO LTDA  - ME;10.647.838/0001-25;PXM-3748;Sim;Sim;Não;2022-07-16;2022-08-26;2016;Semileito;56;56
ALMEIDA E SANTOS TRANSPORTE E TURISMO LTDA  - ME;10.647.838/0001-25;QUM-6500;Sim;Sim;Não;2022-09-21;2022-08-26;2019;Semileito;67;67
ALTA ONDA - AGENCIA DE VIAGENS E TURISMO LTDA;01.563.471/0001-70;AOT-5008;Não;Sim;Não;2033-12-13;2022-06-03;2018;Leito;46;46
ALTERNATIVA VIAGENS E TURISMO EIRELI ME;24.156.703/0001-71;AVS-9D19;Não;Sim;Não;2022-10-26;2022-12-15;2012;Executivo;14;15
AM TRANSPORTES E TURISMO LTDA - ME;21.193.084/0001-05;FIG-9675;Não;Sim;Não;2022-07-21;2022-02-06;2016;Semileito;44;44
AMATUR AMAZONIA TURISMO LTDA;34.805.903/0001-61;AXI-9130;Sim;Sim;Não;2022-07-06;2022-02-20;2013;Convencional;45;45
AMATUR AMAZONIA TURISMO LTDA;34.805.903/0001-61;AXJ-5772;Sim;Sim;Não;2022-09-23;2022-02-20;2013;Convencional;45;45
AMATUR AMAZONIA TURISMO LTDA;34.805.903/0001-61;IZK-2C77;Não;Sim;Não;2022-08-16;2022-02-04;2014;Convencional;44;44
AMATUR AMAZONIA TURISMO LTDA;34.805.903/0001-61;NAS-6395;Sim;Sim;Não;2022-07-28;2022-02-20;2018;Executivo;45;45
AMATUR AMAZONIA TURISMO LTDA;34.805.903/0001-61;NAS-7245;Sim;Sim;Não;2022-12-29;2022-02-04;2019;Convencional;45;45
AMATUR AMAZONIA TURISMO LTDA;34.805.903/0001-61;NAS-7924;Sim;Sim;Não;2022-08-03;2022-02-20;2018;Executivo;45;45
AMATUR AMAZONIA TURISMO LTDA;34.805.903/0001-61;NAS-8056;Sim;Sim;Não;2022-12-28;2022-02-04;2018;Leito/Semileito;12|47;59
AMATUR AMAZONIA TURISMO LTDA;34.805.903/0001-61;NAX-5196;Não;Sim;Não;2022-04-15;2022-02-04;2019;Convencional;16;16
AMATUR AMAZONIA TURISMO LTDA;34.805.903/0001-61;NAX-8C75;Sim;Sim;Não;2022-10-15;2022-02-04;2019;Leito/Semileito;9|51;60
AMATUR AMAZONIA TURISMO LTDA;34.805.903/0001-61;NAX-8D15;Sim;Sim;Não;2022-10-26;2022-02-04;2019;Leito/Semileito;9|51;60
AMATUR AMAZONIA TURISMO LTDA;34.805.903/0001-61;NBA-9256;Sim;Sim;Não;2022-12-30;2022-02-04;2019;Convencional;45;45
AMATUR AMAZONIA TURISMO LTDA;34.805.903/0001-61;NBA-9266;Sim;Sim;Não;2022-12-29;2022-03-04;2019;Convencional;45;45
AMATUR AMAZONIA TURISMO LTDA;34.805.903/0001-61;NOW-7371;Sim;Sim;Não;2022-03-17;2022-02-04;2014;Semileito;40;40
AMATUR AMAZONIA TURISMO LTDA;34.805.903/0001-61;NOZ-5391;Sim;Sim;Não;2022-04-05;2022-02-04;2014;Semileito;40;40
AMATUR AMAZONIA TURISMO LTDA;34.805.903/0001-61;NUH-3836;Sim;Sim;Não;2022-11-29;2022-02-04;2019;Semileito;46;46
AMATUR AMAZONIA TURISMO LTDA;34.805.903/0001-61;NUH-3846;Sim;Sim;Não;2022-11-26;2022-02-04;2019;Semileito;46;46
AMATUR AMAZONIA TURISMO LTDA;34.805.903/0001-61;NUH-6658;Sim;Sim;Não;2022-04-05;2022-02-04;2015;Leito/Semileito;44|12;56
AMATUR AMAZONIA TURISMO LTDA;34.805.903/0001-61;NUH-6668;Sim;Sim;Não;2022-03-22;2022-02-04;2015;Leito/Semileito;44|12;56
AMATUR AMAZONIA TURISMO LTDA;34.805.903/0001-61;NUI-0537;Sim;Sim;Não;2022-02-24;2022-02-04;2017;Leito/Semileito;12|47;59
AMATUR AMAZONIA TURISMO LTDA;34.805.903/0001-61;NUJ-4027;Sim;Não;Não;2022-07-21;2022-02-04;2018;Leito/Semileito;12|47;59
AMATUR AMAZONIA TURISMO LTDA;34.805.903/0001-61;NUJ-8617;Não;Sim;Não;2023-01-21;2022-03-04;2018;Convencional;46;46
AMATUR AMAZONIA TURISMO LTDA;34.805.903/0001-61;PKE-5C22;Sim;Sim;Não;2022-04-28;2022-02-04;2016;Executivo;46;46
AMATUR AMAZONIA TURISMO LTDA;34.805.903/0001-61;PQJ-4A39;Sim;Sim;Não;2022-12-28;2022-02-04;2016;Convencional;45;45
AMATUR AMAZONIA TURISMO LTDA;34.805.903/0001-61;QBG-1G40;Sim;Sim;Não;2022-10-13;2022-02-04;2014;Convencional;44;44
AMATUR AMAZONIA TURISMO LTDA;34.805.903/0001-61;QBG-1G90;Sim;Sim;Não;2022-10-14;2022-02-20;2014;Convencional;44;44
AMATUR AMAZONIA TURISMO LTDA;34.805.903/0001-61;QDB-1955;Sim;Sim;Não;2022-12-30;2022-02-04;2015;Convencional;43;43
AN LOCACAO E TRANSPORTE LTDA;17.620.336/0001-50;BJN-9581;Não;Sim;Não;2022-05-09;2022-11-18;2019;Executivo;19;19
ANA MARIA BORGES EIRELI;29.035.341/0001-84;GUC-1472;Não;Sim;Não;2022-07-18;2022-11-24;1995;Convencional;50;50
ANA MARIA BORGES EIRELI;29.035.341/0001-84;LQE-1223;Não;Sim;Não;2022-05-29;2022-08-31;2005;Convencional;47;47
ANA PAULA DE FATIMA BUENO E CIA LTDA - ME;24.592.236/0001-22;AHJ-4757;Não;Sim;Não;2022-02-23;2022-08-12;1997;Semileito;38;38
ANAIZA TURISMO LTDA;01.319.160/0001-60;INY-2109;Não;Sim;Não;2022-10-05;2022-08-13;2007;Semileito;58;58
ANDERSON DA SILVA VARGAS TRANSPORTES - EIRELI;02.194.870/0001-74;INV-5E99;Não;Sim;Não;2022-11-08;2022-03-08;2007;Semileito;46;46
ANDRADE TRANSPORTE EIRELI;41.431.523/0001-70;NCV-2525;Não;Sim;Não;2022-05-05;2022-07-12;2003;Semileito;46;46
ANDRE E BETH LOCADORA EIRELI-ME;17.318.433/0001-92;LUD-9G44;Não;Sim;Não;2022-10-19;2022-11-26;2019;Executivo;16;16
ANDREATUR TRANSPORTES E SERVIÇOS LTDA EPP;01.502.456/0001-12;ELW-5A42;Sim;Sim;Não;2022-09-22;2022-03-30;2011;Executivo;50;50
ANDREATUR TRANSPORTES E SERVIÇOS LTDA EPP;01.502.456/0001-12;EMU-5038;Sim;Sim;Não;2022-10-01;2022-02-16;2010;Executivo;50;50
ANDREATUR TRANSPORTES E SERVIÇOS LTDA EPP;01.502.456/0001-12;FCQ-5917;Não;Sim;Não;2022-11-17;2022-02-16;2014;Leito;32;32
ANDREATUR TRANSPORTES E SERVIÇOS LTDA EPP;01.502.456/0001-12;FDD-9812;Sim;Sim;Não;2022-09-22;2022-03-28;2017;Semileito;67;67
ANDREATUR TRANSPORTES E SERVIÇOS LTDA EPP;01.502.456/0001-12;FDH-5A48;Sim;Sim;Não;2022-10-01;2022-02-16;2012;Executivo;50;50
ANDREATUR TRANSPORTES E SERVIÇOS LTDA EPP;01.502.456/0001-12;FGA-8507;Não;Sim;Não;2022-10-01;2022-02-16;2014;Semileito;52;52
ANDREATUR TRANSPORTES E SERVIÇOS LTDA EPP;01.502.456/0001-12;FNX-9207;Não;Sim;Não;2022-10-01;2022-02-16;2014;Executivo;52;52
ANDREATUR TRANSPORTES E SERVIÇOS LTDA EPP;01.502.456/0001-12;FQQ-7234;Não;Sim;Não;2022-02-24;2022-02-16;2017;Semileito;67;67
ANDREATUR TRANSPORTES E SERVIÇOS LTDA EPP;01.502.456/0001-12;FSU-5053;Sim;Sim;Não;2022-09-22;2022-03-28;2012;Executivo;50;50
ANDREATUR TRANSPORTES E SERVIÇOS LTDA EPP;01.502.456/0001-12;FSU-5054;Sim;Sim;Não;2022-02-08;2022-03-28;2012;Executivo;50;50
ANDREATUR TRANSPORTES E SERVIÇOS LTDA EPP;01.502.456/0001-12;FUK-2573;Não;Sim;Não;2022-07-14;2022-02-16;2017;Executivo;26;26
ANDREATUR TRANSPORTES E SERVIÇOS LTDA EPP;01.502.456/0001-12;FUU-7205;Sim;Sim;Não;2022-02-25;2022-03-28;2017;Semileito;64;64
ANDREATUR TRANSPORTES E SERVIÇOS LTDA EPP;01.502.456/0001-12;GDV-4059;Sim;Sim;Não;2022-12-01;2022-03-28;2017;Executivo;26;26
ANDREIA CARVALHO CAVALCANTI EIRELI;27.982.427/0001-99;PIS-7120;Não;Sim;Não;2022-10-06;2022-06-01;2016;Executivo;61;61
ANGIGU-EMPRESA DE TRANSPORTES DE PASSAGEIRO E LOCAÇÃO DE VEÍCULOS LTDA-ME;11.990.738/0001-60;KLC-6190;Não;Sim;Não;2023-01-18;2022-10-19;2007;Leito;30;30
ANJOS TUR TRANSPORTES E TURISMO EIRELI;31.545.032/0001-04;QUN-4259;Não;Sim;Não;2022-09-30;2022-10-11;2019;Convencional;20;2021
ANTONIO PEDRO DA SILVA TRANSPORTE DE PASSAGEIROS EIRELI;05.051.769/0001-52;JHJ-2442;Sim;Sim;Não;2022-02-01;2022-08-19;2009;Executivo;55;55
ANTONIO PEDRO DA SILVA TRANSPORTE DE PASSAGEIROS EIRELI;05.051.769/0001-52;PIG-7308;Sim;Sim;Não;2022-07-27;2022-08-19;2014;Executivo;48;48
ANTONIO PEDRO DA SILVA TRANSPORTE DE PASSAGEIROS EIRELI;05.051.769/0001-52;PIS-2877;Sim;Sim;Não;2022-11-09;2022-08-19;2017;Executivo;50;50
ANTONIO PEDRO DA SILVA TRANSPORTE DE PASSAGEIROS EIRELI;05.051.769/0001-52;PIZ-1307;Sim;Sim;Não;2022-09-10;2022-08-19;2018;Executivo;50;50
APARECIDO RIBEIRO FOGACA EIRELI;22.499.607/0001-09;EOF-4883;Não;Sim;Não;2022-11-27;2022-11-06;2011;Convencional;26;26
ARAGUATUR VIAGENS E TURISMO EIRELE ME;02.729.226/0001-53;PRZ-2163;Sim;Sim;Não;2022-09-02;2022-05-04;2017;Executivo;42;42
ARAXA BRASIL TRANSPORTES E TURISMO LTDA - ME;18.712.862/0001-02;QKF-8F55;Não;Sim;Não;2022-06-10;2022-02-03;2015;Semileito;48;48
ARB TURISMO LTDA;03.710.970/0001-79;CRY-7632;Não;Sim;Não;2022-03-22;2022-09-29;1999;Semileito;41;41
ARB TURISMO LTDA;03.710.970/0001-79;NGQ-1182;Não;Sim;Não;2022-08-25;2022-08-11;2006;Semileito;44;44
ARGUS TRANSPORTES E LOCACAO DE VEICULOS LTDA;13.620.215/0001-57;FJR-9623;Não;Sim;Não;2022-07-07;2023-01-19;2016;Executivo;16;16
ARIES TRANSPORTE E TURISMO LTDA;43.545.763/0001-20;ESE-0C94;Não;Sim;Não;2022-09-06;2022-09-10;2010;Executivo;46;46
ARISI TRANSPORTES  LTDA;16.700.680/0001-96;BDB-1J13;Não;Sim;Não;2022-11-08;2022-11-05;2018;Convencional;16;16
ASATUR TURISMO LTDA;04.693.576/0001-32;NAN-5238;Sim;Não;Não;2022-03-04;2022-02-10;2010;Convencional;44;44
ASATUR TURISMO LTDA;04.693.576/0001-32;NAN-5248;Sim;Não;Não;2022-03-12;2022-02-10;2010;Convencional;44;44
ASATUR TURISMO LTDA;04.693.576/0001-32;NAU-7498;Sim;Não;Não;2022-07-28;2022-02-10;2014;Convencional;42;42
ASATUR TURISMO LTDA;04.693.576/0001-32;NAU-7508;Sim;Não;Não;2022-06-01;2022-02-10;2014;Semileito;42;42
ASATUR TURISMO LTDA;04.693.576/0001-32;NAU-7566;Sim;Não;Não;2022-06-10;2022-02-10;2015;Leito/Semileito;12|42;54
ASATUR TURISMO LTDA;04.693.576/0001-32;NAU-7576;Sim;Não;Não;2022-05-27;2022-02-10;2015;Leito/Semileito;12|42;54
ASATUR TURISMO LTDA;04.693.576/0001-32;NAV-0J74;Sim;Não;Não;2022-03-17;2022-02-10;2020;Semileito;41;41
ASATUR TURISMO LTDA;04.693.576/0001-32;NAV-0J84;Sim;Não;Não;2022-03-17;2022-02-10;2020;Semileito;41;41
ASATUR TURISMO LTDA;04.693.576/0001-32;NAV-0J94;Sim;Não;Não;2022-03-17;2022-02-10;2020;Semileito;41;41
ASATUR TURISMO LTDA;04.693.576/0001-32;NAV-1012;Sim;Não;Não;2022-02-26;2022-02-10;2014;Convencional;44;44
ASATUR TURISMO LTDA;04.693.576/0001-32;NAV-1022;Sim;Não;Não;2022-06-14;2022-02-10;2015;Leito/Semileito;12|42;54
ASATUR TURISMO LTDA;04.693.576/0001-32;NAV-1032;Sim;Não;Não;2022-09-24;2022-02-10;2015;Leito/Semileito;12|42;54
ASATUR TURISMO LTDA;04.693.576/0001-32;NAV-1042;Sim;Não;Não;2022-06-02;2022-02-10;2015;Leito/Semileito;12|42;54
ASATUR TURISMO LTDA;04.693.576/0001-32;NAV-1052;Sim;Não;Não;2022-07-15;2022-02-10;2015;Leito/Semileito;12|42;54
ASATUR TURISMO LTDA;04.693.576/0001-32;NAV-1A04;Sim;Não;Não;2022-03-17;2022-02-10;2020;Semileito;41;41
ASATUR TURISMO LTDA;04.693.576/0001-32;NAV-1A24;Sim;Não;Não;2022-03-17;2022-02-10;2020;Semileito;41;41
ASATUR TURISMO LTDA;04.693.576/0001-32;NAV-1A74;Sim;Não;Não;2022-03-17;2022-02-10;2020;Semileito;41;41
ASATUR TURISMO LTDA;04.693.576/0001-32;NAV-3987;Sim;Não;Não;2022-06-14;2022-02-10;2016;Leito/Semileito;12|45;57
ASATUR TURISMO LTDA;04.693.576/0001-32;NAV-4007;Sim;Não;Não;2022-06-04;2022-02-10;2016;Leito/Semileito;12|45;57
ASATUR TURISMO LTDA;04.693.576/0001-32;NAV-7H45;Sim;Não;Não;2022-09-16;2022-02-10;2020;Leito;45;45
ASATUR TURISMO LTDA;04.693.576/0001-32;NAV-7H55;Sim;Não;Não;;2022-02-10;2020;Leito;45;45
ASATUR TURISMO LTDA;04.693.576/0001-32;NAV-7H65;Sim;Não;Não;;2022-02-10;2020;Leito;45;45
ASATUR TURISMO LTDA;04.693.576/0001-32;NAV-7H75;Sim;Não;Não;2022-08-12;2022-02-10;2020;Leito;45;45
ASATUR TURISMO LTDA;04.693.576/0001-32;NUI-4838;Sim;Não;Não;2022-12-01;2022-02-10;2015;Leito/Semileito;12|42;54
ASATUR TURISMO LTDA;04.693.576/0001-32;NUI-4868;Sim;Não;Não;2022-06-02;2022-02-10;2015;Leito/Semileito;12|42;54
ASATUR TURISMO LTDA;04.693.576/0001-32;NUL-2057;Sim;Não;Não;2022-12-14;2022-02-10;2018;Leito/Semileito;12|47;59
ASATUR TURISMO LTDA;04.693.576/0001-32;NUL-2547;Sim;Não;Não;2022-12-15;2022-02-10;2018;Leito/Semileito;12|47;59
ASATUR TURISMO LTDA;04.693.576/0001-32;NUL-3197;Sim;Não;Não;2022-12-30;2022-02-10;2018;Leito/Semileito;12|47;59
ASATUR TURISMO LTDA;04.693.576/0001-32;NUL-5327;Sim;Não;Não;2022-12-14;2022-02-10;2018;Leito/Semileito;12|47;59
ASSAI TURISMO - EIRELI - ME;19.793.020/0001-95;ARA-4I48;Não;Sim;Não;2023-01-05;2022-09-17;2007;Executivo;15;16
ASTRA-AGENCIA DE SERVICOS E TRANSPORTES TERRESTRES LTDA;00.867.680/0001-45;FXJ-1400;Não;Sim;Não;2022-09-01;2022-06-22;2012;Semileito;56;59
ATITUDE TRANSPORTE ESCOLAR LTDA;17.869.905/0001-03;JIW-9309;Não;Sim;Não;2023-01-19;2022-05-07;2011;Executivo;16;16
ATLANTICO TRANSPORTES LTDA;08.380.889/0001-91;ATD-5G12;Não;Sim;Não;2022-03-30;2022-02-08;2010;Executivo;47;47
AUTO VIACAO GADOTTI LTDA;02.659.207/0001-06;IWT-4F13;Sim;Sim;Não;2022-10-07;2022-02-10;2015;Leito;52;52
AUTO VIACAO GADOTTI LTDA;02.659.207/0001-06;MJP-9J85;Sim;Não;Não;2022-11-05;2022-02-10;2012;Semileito;51;51
AUTO VIACAO GADOTTI LTDA;02.659.207/0001-06;MMJ-3014;Sim;Sim;Não;2022-10-05;2022-02-10;2013;Leito;54;54
AUTO VIACAO GADOTTI LTDA;02.659.207/0001-06;OKE-3B14;Sim;Sim;Não;2022-12-15;2022-02-10;2013;Leito;40;40
AUTO VIACAO GADOTTI LTDA;02.659.207/0001-06;QIJ-2016;Sim;Sim;Não;2022-03-04;2022-02-10;2015;Leito;28;28
AUTO VIACAO GADOTTI LTDA;02.659.207/0001-06;QIJ-2116;Sim;Sim;Não;2022-09-09;2022-02-10;2014;Leito;28;28
AUTO VIACAO GADOTTI LTDA;02.659.207/0001-06;QIJ-2216;Sim;Sim;Não;2022-10-14;2022-02-10;2014;Leito;48;48
AUTO VIACAO GADOTTI LTDA;02.659.207/0001-06;QIJ-2B15;Sim;Sim;Não;2022-09-14;2022-02-10;2014;Leito;28;28
AUTO VIACAO GADOTTI LTDA;02.659.207/0001-06;QIJ-3115;Sim;Sim;Não;2022-09-24;2022-02-10;2014;Leito;40;40
AUTO VIACAO GADOTTI LTDA;02.659.207/0001-06;QJJ-3065;Sim;Sim;Não;2022-12-02;2022-02-10;2018;Semileito;54;54
AUTO VIACAO GADOTTI LTDA;02.659.207/0001-06;QJJ-3B17;Sim;Sim;Não;2022-12-21;2022-02-10;2017;Leito;40;30
AUTO VIACAO GADOTTI LTDA;02.659.207/0001-06;QJJ-3E19;Sim;Sim;Não;2022-07-20;2022-02-10;2018;Leito;29;29
AUTO VIACAO GADOTTI LTDA;02.659.207/0001-06;QJS-3520;Sim;Sim;Não;2022-09-21;2022-02-10;2018;Leito;46;46
AUTO VIACAO GADOTTI LTDA;02.659.207/0001-06;RAG-3700;Sim;Sim;Não;2022-10-06;2022-02-10;2019;Semileito;54;54
AUTO VIACAO GADOTTI LTDA;02.659.207/0001-06;RDT-0A39;Sim;Sim;Não;2022-06-18;2022-02-10;2019;Leito;42;42
AUTO VIACAO GADOTTI LTDA;02.659.207/0001-06;RDT-4D20;Sim;Sim;Não;2022-08-10;2022-02-10;2020;Leito;30;30
AUTO VIACAO GADOTTI LTDA;02.659.207/0001-06;RDT-4E20;Sim;Sim;Não;2022-12-03;2022-02-10;2019;Leito;30;30
AUTO VIACAO GADOTTI LTDA;02.659.207/0001-06;RXT-5A23;Sim;Sim;Não;2022-10-15;2022-02-10;2020;Leito;42;42
AUTO VIACAO JARDINENSE LTDA;30.301.938/0001-02;AQQ-3890;Não;Sim;Não;2022-10-07;2022-10-08;2008;Executivo;51;51
AUTO VIACAO VENANCIO AIRES LTDA;98.593.668/0001-94;INL-6147;Sim;Sim;Não;2022-05-11;2023-01-29;2006;Semileito;57;57
AUTO VIACAO VENANCIO AIRES LTDA;98.593.668/0001-94;IQK-8860;Sim;Sim;Não;2022-12-20;2023-01-29;2009;Convencional;52;52
AUTO VIACAO VENANCIO AIRES LTDA;98.593.668/0001-94;IRP-0294;Sim;Sim;Não;2022-09-15;2023-01-29;2010;Semileito;56;56
AUTO VIACAO VENANCIO AIRES LTDA;98.593.668/0001-94;IUA-1600;Sim;Sim;Não;2022-12-20;2023-01-29;2011;Convencional;48;48
AUTO VIACAO VENANCIO AIRES LTDA;98.593.668/0001-94;IUS-0999;Sim;Sim;Não;2022-10-11;2023-01-29;2011;Convencional;55;55
